conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Request Position,The act of submitting a recruitment requisition for a vacancy required to perform work for the organization.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,1,,
,Validate Position,The act of verifying that the recruitment requisition's financial and business justification criteria are acceptable.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,2,,
,Source Individuals,The act of finding individuals who may qualify for the open position and validating their interest.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,3,,
,Evaluate Individuals,The act of assessing the potential candidates against the open position requirements and extending an offer to the most qualified individual.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,4,,
,Finalize Acceptance,The act of negotiating the employment agreement terms and conditions.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,5,,
,Onboard Individual,The act of bringing an individual into the organization and providing necessary training and resources for them to effectively start contributing.,Value Stream Stage,,Onboard Human Resource,,Onboard Human Resource,6,,
,Onboard Partner,The end-to-end perspective of identifying and commencing business with other organizations for mutual benefit.,Value Stream,,,,,,,
,Identify Need,The act of defining the business requirements for goods and services that cannot be obtained internally.,Value Stream Stage,,Onboard Partner,,Onboard Partner,1,,
,Vet Potential Partner,The act of validating that the potential partner is capable of delivering on the value proposition and meets ethical guidelines.,Value Stream Stage,,Onboard Partner,,Onboard Partner,2,,
,Negotiate Terms,"The act of reviewing and negotiating the terms of the contract including such things as cost, scope, and length of engagement.",Value Stream Stage,,Onboard Partner,,Onboard Partner,3,,
,Formalize Agreement,The act of reaching final agreement on the terms of the contract.,Value Stream Stage,,Onboard Partner,,Onboard Partner,4,,
,Induct Partner,The act of onboarding the partner to make them familiar with how they are expected to engage with the organization.,Value Stream Stage,,Onboard Partner,,Onboard Partner,5,,
,Optimize Investments,"The end-to-end perspective of deciding where to make investments, based on the understanding of the enterprise's goals, strategy, current positions, and external forces.",Value Stream,,,,,,,
,Initiate Investment Review,The act of understanding the strategy and goals of the enterprise.,Value Stream Stage,,Optimize Investments,,Optimize Investments,1,,
,Assess Current Position,The act of gathering and analyzing all relevant information related to transformation of financial and customer goals and objectives.,Value Stream Stage,,Optimize Investments,,Optimize Investments,2,,
,Investigate Investment Options,"The act of recognizing, designing, evaluating, and prioritizing actions in accordance with strategy, cause-and-effect linkages, and policies and regulations.",Value Stream Stage,,Optimize Investments,,Optimize Investments,3,,
,Select Investment Options,The act of selecting a course of action based on assessment of options.,Value Stream Stage,,Optimize Investments,,Optimize Investments,4,,
,Execute Investment Options,The act of putting an investment plan in motion.,Value Stream Stage,,Optimize Investments,,Optimize Investments,5,,
,Optimize Reserves,"The end-to-end perspective of establishing a stated amount or percent of liquid assets that the government estimates as needed on hand for unearned premium reserves and outstanding losses, such as claims and related outstanding liabilities.",Value Stream,,,,,,,
,Create Reserves Forecast,"The action of making assumptions about future financial trends using techniques such as analysis of historical data, benchmarking, and budgetary planning.",Value Stream Stage,,Optimize Reserves,,Optimize Reserves,1,,
,Analyze Risks,The act of defining and evaluating the uncertainty concerning the possibility of loss to the organization.,Value Stream Stage,,Optimize Reserves,,Optimize Reserves,2,,
,Determine Risk Exposure,The act of quantifying a potential loss to the organization.,Value Stream Stage,,Optimize Reserves,,Optimize Reserves,3,,
,Establish Target Levels,The act of determining the required levels of reserves that will keep the organization financially able to meet its obligations and liabilities.,Value Stream Stage,,Optimize Reserves,,Optimize Reserves,4,,
,Notify Stakeholders,The act of completing activities that will inform the stakeholders of the organization's plan for reserve management.,Value Stream Stage,,Optimize Reserves,,Optimize Reserves,5,,
,Pass Legislation,"The end-to-end perspective of drafting a bill, consideration and revision, and approval of the legislation, enactment into law, and possible nullification of outdated laws.",Value Stream,,,,,,,
,Initiate Legislation,Act of proposing and beginning the effort to pass legislation.,Value Stream Stage,,Pass Legislation,,Pass Legislation,1,,
,Draft Legislation,Act of drafting the initially proposed legislation.,Value Stream Stage,,Pass Legislation,,Pass Legislation,2,,
,Approve Legislation,"Act of holding hearings, passing through multiple committee, legislative bodies, reconciliations, and achieving final vote to be signed.",Value Stream Stage,,Pass Legislation,,Pass Legislation,3,,
,Sign Legislation,"Act of formally signing legislation into law, typically by an executive body.",Value Stream Stage,,Pass Legislation,,Pass Legislation,4,,
,Enact Legislation,Act of preparing for and having the legislation go into effect.,Value Stream Stage,,Pass Legislation,,Pass Legislation,5,,
,Register-Grant IP Rights,"The end-to-end perspective of requesting a patent, trademark, or copyright, reviewing the request, and granting the request.",Value Stream,,,,,,,
,Initiate Intellectual Property Rights Request,Act of submitting an application to register or grant rights.,Value Stream Stage,,Register-Grant IP Rights,,Register-Grant IP Rights,1,,
,Accept Request,Act of accepting an application as valid.,Value Stream Stage,,Register-Grant IP Rights,,Register-Grant IP Rights,2,,
,Grant Preliminary Request,"Act of preliminarily registering or granting of rights, pending public review.",Value Stream Stage,,Register-Grant IP Rights,,Register-Grant IP Rights,3,,
,Clear Public Review Period,Act of opening up a registration or granting request for public review and review period expiring without a challenge.,Value Stream Stage,,Register-Grant IP Rights,,Register-Grant IP Rights,4,,
,Register/Grant Intellectual Property Rights,Act of formally granting or registering intellectual property and notifying all stakeholders.,Value Stream Stage,,Register-Grant IP Rights,,Register-Grant IP Rights,5,,
,Resolve Dispute,The end-to-end perspective of activities related to reaching settlement of the dispute among one or more third parties.,Value Stream,,,,,,,
,Receive Dispute Submission,Act of receiving and accepting dispute submission.,Value Stream Stage,,Resolve Dispute,,Resolve Dispute,1,,
,Validate Dispute,Act of determining that the dispute is valid and in the jurisdiction of the government entity.,Value Stream Stage,,Resolve Dispute,,Resolve Dispute,2,,
,Determine Dispute Outcome,Act of settling the dispute.,Value Stream Stage,,Resolve Dispute,,Resolve Dispute,3,,
,Finalize Dispute Resolution Actions,Act of taking any actions required to conform to the settlement terms.,Value Stream Stage,,Resolve Dispute,,Resolve Dispute,4,,
,Resolve Incident,"The end-to-end perspective of activities necessary to identify, scope, track, and address an incident as well as identify areas of improvement in order to reduce future likelihood or improve future responses.",Value Stream,,,,,,,
,Recognize Incident,The act of identifying and acknowledging an incident.,Value Stream Stage,,Resolve Incident,,Resolve Incident,1,,
,Determine Cause and Impact,The act of classifying and investigating the incident to determine the root cause and impact.,Value Stream Stage,,Resolve Incident,,Resolve Incident,2,,
,Formulate Response,The act of formulating a course of action to correct or offset the effects of the incident.,Value Stream Stage,,Resolve Incident,,Resolve Incident,3,,
,Conclude Incident,"The act of applying the determined course of action to resolve, correct or offset the effects of the incident.",Value Stream Stage,,Resolve Incident,,Resolve Incident,4,,
,Identify Improvements,The act of deciding on changes to products and/or operational processes to prevent or reduce future recurrence or improve future resolution.,Value Stream Stage,,Resolve Incident,,Resolve Incident,5,,
,Resolve Inquiry,"The end-to-end perspective necessary to track and resolve a question, request, feedback, or comment.",Value Stream,,,,,,,
,Initiate Inquiry,"The act of capturing, identifying, recording and acknowledging an inquiry.",Value Stream Stage,,Resolve Inquiry,,Resolve Inquiry,1,,
,Accept Inquiry,The act of evaluating and comprehending the inquiry and determining whether to respond.,Value Stream Stage,,Resolve Inquiry,,Resolve Inquiry,2,,
,Respond to Inquiry,The act of formulating an approved response and delivering to the inquiring stakeholder.,Value Stream Stage,,Resolve Inquiry,,Resolve Inquiry,3,,
,Identify Improvements,The act of deciding on changes to products and/or operational processes to prevent or reduce future recurrence or improve future resolution.,Value Stream Stage,,Resolve Inquiry,,Resolve Inquiry,4,,
,Respond to Emergency,"The end-to-end perspective of identifying, scoping, mobilizing, and otherwise responding to an emergency incident.",Value Stream,,,,,,,
,Identify Emergency,The act of identifying an incident that requires an emergency response or being notified that an emergency response is in progress that may be joined.,Value Stream Stage,,Respond to Emergency,,Respond to Emergency,1,,
,Design Emergency Response,"The act of identifying a way of optimizing the speed, reliability, and effectiveness of the emergency response.",Value Stream Stage,,Respond to Emergency,,Respond to Emergency,2,,
,Activate Emergency Response,"The act of prioritizing, where feasible, the emergency response through the network.",Value Stream Stage,,Respond to Emergency,,Respond to Emergency,3,,
,Finalize Emergency Response,The act of maintaining oversight of an emergency response and finalizing response.,Value Stream Stage,,Respond to Emergency,,Respond to Emergency,4,,
,Closeout Emergency and Evaluate,The act of terminating and evaluating an emergency response.,Value Stream Stage,,Respond to Emergency,,Respond to Emergency,5,,
,Settle Claim,"The end-to-end perspective of determining to compensate for, or restoration of, an asset for a loss.",Value Stream,,,,,,,
,Notify Insurer,The act of notifying the insuring that an incident has occurred and establishing a claim.,Value Stream Stage,,Settle Claim,,Settle Claim,1,,
,Validate Claim,The act of determining if the incident recorded meets the criteria needed to process the claim.,Value Stream Stage,,Settle Claim,,Settle Claim,2,,
,Adjudicate Claim,The act of determining who and how the claim will be resolved and the expected cost to the organization.,Value Stream Stage,,Settle Claim,,Settle Claim,3,,
,Resolve Claim,The act of meeting the conditions of the policy.,Value Stream Stage,,Settle Claim,,Settle Claim,4,,
,Settle Migration,"The end-to-end perspective of requesting, qualifying for, and receiving authorization for immigration or emigration.",Value Stream,,,,,,,
,Receive Migration Request,"Applicant completes and submits a migration request, using available channels, with supporting documentation as required for the type of immigration product requested, and completing payment for any required product/service fees.",Value Stream Stage,,Settle Migration,,Settle Migration,1,,
,Accept Request for Migration,"The activities required to perform a detailed assessment of the application, verify and validate the information and supporting documentation provided, and confirm the applicant's identity.",Value Stream Stage,,Settle Migration,,Settle Migration,2,,
,Decide Migration Request Outcome,"The activities required to evaluate the request against eligibility, suitability, entitlement, and threat criteria, interview the migrant applicant where necessary, liaise and communicate with stakeholders as required, arrive at a decision and complete the recording of the decision for case history.",Value Stream Stage,,Settle Migration,,Settle Migration,3,,
,Finalize Migration Request Outcome,"The activities required to produce and complete any required documentation and artifacts relating to the migration determination, deliver the service to the migrant, and communicate the outcome to other agencies and stakeholders.",Value Stream Stage,,Settle Migration,,Settle Migration,4,,
,Settle Payment Obligation,"The end-to-end set of activities necessary for determining, communicating, and settling, i.e., exchanging funds against a payment obligation.",Value Stream,,,,,,,
,Initiate Payment,The act of initiating a payment obligation.,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,1,,
,Determine Payment Obligation,The act of gathering and validating all information necessary and calculating and defining a payment obligation.,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,2,,
,Communicate Payment Obligation,The act of formulating and communicating the payment obligation to the appropriate stakeholder(s).,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,3,,
,Validate Payment Obligation,The act of reconciling and validating the legitimacy and accuracy of the payment obligation.,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,4,,
,Exchange Funds,The act of transferring funds against the payment obligation.,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,5,,
,Update Financial Records,The act of recording the exchange of funds in financial accounts and updating the status of the payment obligation.,Value Stream Stage,,Settle Payment Obligation,,Settle Payment Obligation,6,,
,Trade Financial Instrument,"The end-to-end perspective of executing a financial instrument trade, including clearing and settlement.",Value Stream,,,,,,,
,Initiate Trade,The act of making a request for trading a financial instrument.,Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,1,,
,Select Accredited Broker-Dealer,The act of determining and selecting which broker-dealer will execute the financial instrument trade.,Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,2,,
,Validate Trade Request,The act of verifying if the requested financial instrument is suitable for the investor according to established investment goals.,Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,3,,
,Obtain Trade Quotes,The act of obtaining all available quotes for the requested instrument exchange.,Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,4,,
,Execute Trade Order,"The act of fulfilling, i.e., entering into an agreement with the counterparty to exchange the instrument, the trade order externally and matching to the investment trade agreements.",Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,5,,
,Settle Trade,"The act of exchanging the agreed-upon financial instruments and verifying that the trade was done in accordance with all policies, regulations, and procedures.",Value Stream Stage,,Trade Financial Instrument,,Trade Financial Instrument,6,,
