conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Finalize Vote Outcome,"The activities required to certify the integrity of the voting process, formalize the outcome, and declare the results.",Value Stream Stage,,Conduct Vote,,Conduct Vote,5,,
,Create Policy,"The end-to-end perspective involved in the creation or update of policies that govern how the public sector entity will regulate constituent organizations, including the operations of the public sector entity itself.",Value Stream,,,,,,,
,Initiate Policy Request,The initiation of a policy creation or modification as a result of a request.,Value Stream Stage,,Create Policy,,Create Policy,1,,
,Approve Policy Request,The collection and analysis of research leading to an approval or denial to proceed with policy formulation.,Value Stream Stage,,Create Policy,,Create Policy,2,,
,Formulate Policy,"The drafting of a proposed policy or policy modification, collecting comments, editing, and finalizing the policy to submit for review.",Value Stream Stage,,Create Policy,,Create Policy,3,,
,Approve Policy,The official review and legally binding vote by authorized persons to establish the creation or modification of a policy.,Value Stream Stage,,Create Policy,,Create Policy,4,,
,Publish Policy,"The publication of the new or modified policy for consumption by organizations, institutions, partners, and other stakeholders.",Value Stream Stage,,Create Policy,,Create Policy,5,,
,Cross Geographic Border,The end-to-end perspective of crossing or sending something across a geographic border.,Value Stream,,,,,,,
,Initiate Geographic Border Crossing,"Research crossing criteria, apply for permission to cross geographic border.",Value Stream Stage,,Cross Geographic Border,,Cross Geographic Border,1,,
,Receive Permissions,Obtain permissions to leave jurisdiction of crossing origin.,Value Stream Stage,,Cross Geographic Border,,Cross Geographic Border,2,,
,Depart Origin Jurisdiction,Begin crossing from origin jurisdiction to target jurisdiction.,Value Stream Stage,,Cross Geographic Border,,Cross Geographic Border,3,,
,Receive Permission to Enter Target Jurisdiction,Obtain permits to enter target jurisdiction.,Value Stream Stage,,Cross Geographic Border,,Cross Geographic Border,4,,
,Enter Target Jurisdiction,Arrive at target jurisdiction.,Value Stream Stage,,Cross Geographic Border,,Cross Geographic Border,5,,
,Decide Legal Case,"The end-to-end perspective of bringing a case, evidence, and testimony through the court system, obtaining a decision, and enacting the decision.",Value Stream,,,,,,,
,File Legal Case,"According to the customs of the jurisdiction, present a claim to the right to pursue a legal matter to obtain a resolution.",Value Stream Stage,,Decide Legal Case,,Decide Legal Case,1,,
,Prepare for Case Examination,The activities required by the jurisdiction to prepare for a formal examination of the evidence of the case.,Value Stream Stage,,Decide Legal Case,,Decide Legal Case,2,,
,Conduct Case Examination,Optional value stream stage in which the activities required by the jurisdiction to present evidence for a legal case are conducted.,Value Stream Stage,,Decide Legal Case,,Decide Legal Case,3,,
,Determine Case Outcome,The activities at the end of a formal examination that result in a decision.,Value Stream Stage,,Decide Legal Case,,Decide Legal Case,4,,
,Finalize Legal Case,"The post-trial activities to record the outcome, expectations, and next steps, if any.",Value Stream Stage,,Decide Legal Case,,Decide Legal Case,5,,
,Deliver Initiative,The end-to-end perspective of planning and executing an initiative.,Value Stream,,,,,,,
,Request Initiative,The act of requesting that an initiative be commenced.,Value Stream Stage,,Deliver Initiative,,Deliver Initiative,1,,
,Create Initiative Plan,"The act of defining the program plan, including program budget and schedule.",Value Stream Stage,,Deliver Initiative,,Deliver Initiative,2,,
,Approve Initiative Plan,The act of approving the program plan.,Value Stream Stage,,Deliver Initiative,,Deliver Initiative,3,,
,Resource Initiative,"The act of securing program resources, including money, people, and assets.",Value Stream Stage,,Deliver Initiative,,Deliver Initiative,4,,
,Execute Initiative,The act of performing the work defined in the program.,Value Stream Stage,,Deliver Initiative,,Deliver Initiative,5,,
,Finalize Initiative,The act of evaluating program metrics and transferring ownership to the sponsoring organization(s).,Value Stream Stage,,Deliver Initiative,,Deliver Initiative,6,,
,Deliver Meeting,The end-to-end perspective of planning and executing a meeting.,Value Stream,,,,,,,
,Initiate Meeting,"The act of conceiving, advancing, positing, or originating a meeting.",Value Stream Stage,,Deliver Meeting,,Deliver Meeting,1,,
