conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Dispute -> Claim,Related information concept link from Dispute to Claim,Information Concept Link,,Dispute,,Dispute,3,,Claim
,Dispute -> Constituent,Related information concept link from Dispute to Constituent,Information Concept Link,,Dispute,,Dispute,4,,Constituent
,Dispute -> Partner,Related information concept link from Dispute to Partner,Information Concept Link,,Dispute,,Dispute,5,,Partner
,Dispute -> Standard,Related information concept link from Dispute to Standard,Information Concept Link,,Dispute,,Dispute,6,,Standard
,Dispute -> Vote,Related information concept link from Dispute to Vote,Information Concept Link,,Dispute,,Dispute,7,,Vote
,Energy,Category: Primary. Sources of power.,Information Concept,,,,,,,
,Electrical,Type for Energy,Information Concept Type,,Energy,,Energy,1,,
,Thermal,Type for Energy,Information Concept Type,,Energy,,Energy,2,,
,Motion,Type for Energy,Information Concept Type,,Energy,,Energy,3,,
,Gravitational,Type for Energy,Information Concept Type,,Energy,,Energy,4,,
,Sound,Type for Energy,Information Concept Type,,Energy,,Energy,5,,
,Elastic,Type for Energy,Information Concept Type,,Energy,,Energy,6,,
,Nuclear,Type for Energy,Information Concept Type,,Energy,,Energy,7,,
,Chemical,Type for Energy,Information Concept Type,,Energy,,Energy,8,,
,Radiant,Type for Energy,Information Concept Type,,Energy,,Energy,9,,
,Conserved,State for Energy,Information Concept State,,Energy,,Energy,1,,
,Transformed,State for Energy,Information Concept State,,Energy,,Energy,2,,
,Energy -> Agreement Term,Related information concept link from Energy to Agreement Term,Information Concept Link,,Energy,,Energy,1,,Agreement Term
,Energy -> Incident,Related information concept link from Energy to Incident,Information Concept Link,,Energy,,Energy,2,,Incident
,Energy -> Initiative,Related information concept link from Energy to Initiative,Information Concept Link,,Energy,,Energy,3,,Initiative
,Energy -> Legislation,Related information concept link from Energy to Legislation,Information Concept Link,,Energy,,Energy,4,,Legislation
,Energy -> Location,Related information concept link from Energy to Location,Information Concept Link,,Energy,,Energy,5,,Location
