conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Brand Management,"Ability to establish, organize, analyze, administer, and report on all aspects of a name, symbol, or design that identifies and differentiates products, offerings, or organizational identities.",Capability,,,,,,,
,Brand Definition,Ability to establish and identify a brand.,Capability,,Brand Management,,Brand Management,,,
,Brand Establishment,Ability to declare a brand.,Capability,,Brand Management,,Brand Definition,,,
,Brand Identification,Ability to recognize a brand.,Capability,,Brand Management,,Brand Definition,,,
,Brand Portfolio Management,"Ability to organize, aggregate, segment, and prioritize a collection of brands.",Capability,,Brand Management,,Brand Management,,,
,Brand Performance Management,"Ability to determine how well a brand is meeting specification and objective levels, or delivering against plan.",Capability,,Brand Management,,Brand Management,,,
,Brand Performance Threshold Setting,Ability to determine acceptable or unacceptable levels of performance for a brand.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Performance Threshold Measurement,Ability to determine if a brand is exceeding or falling short of an acceptable threshold of performance.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Performance Constraints Determination,Ability to assess what is causing a brand to underperform.,Capability,,Brand Management,,Brand Performance Management,,,
,Brand Loyalty Determination,Ability to assess and quantify the commitment and staying power that the brand has within the markets in which it has a presence.,Capability,,Brand Management,,Brand Management,,,
,Brand Awareness Determination,Ability to assess and quantify the degree of familiarity and recognition a brand has within and across various markets.,Capability,,Brand Management,,Brand Management,,,
,Brand Targeting,"Ability to identify and specify the stakeholders, markets, locations, and industry sectors marked for building brand awareness.",Capability,,Brand Management,,Brand Management,,,
,Brand Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with a brand.",Capability,,Brand Management,,Brand Management,,,
,Brand Risk Level Determination,Ability to identify and define the level of risk associated with a brand.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with a brand.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Risk Aggregation,Ability to consider a collective set of risk factors about a brand and represent them from a rationalized perspective.,Capability,,Brand Management,,Brand Risk Management,,,
,Brand Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify a brand or its component parts.",Capability,,Brand Management,,Brand Management,,,
,Brand Access Constraints Definition,Ability to determine access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Access Constraints Interpretation,Ability to understand the access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Access Enforcement,Ability to impose access rights limitations for a brand.,Capability,,Brand Management,,Brand Access Management,,,
,Brand Matching,Ability to associate a brand with other business objects.,Capability,,Brand Management,,Brand Management,,,
,Brand/Channel Matching,Ability to associate a brand with a channel.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Intellectual Property Rights Matching,Ability to associate a brand with an intellectual property right.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Infrastructure Matching,Ability to associate a brand with an infrastructure.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Message Matching,Ability to associate a brand with a message.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Partner Matching,Ability to associate a brand with a partner.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Plan Matching,Ability to associate a brand with a plan.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Policy Matching,Ability to associate a brand with a policy.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Public Sector Entity Matching,Ability to associate a brand with a public sector entity.,Capability,,Brand Management,,Brand Matching,,,
,Brand/Strategy Matching,Ability to associate a brand with a strategy.,Capability,,Brand Management,,Brand Matching,,,
,Brand Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about a brand.",Capability,,Brand Management,,Brand Management,,,
,Brand Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about a brand and their relationships.",Capability,,Brand Management,,Brand Information Management,,,
,Brand Type Management,"Ability to determine, modify, and interpret the category or classification of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand State Management,"Ability to determine, modify, and interpret the status or condition of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Brand Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of a brand.",Capability,,Brand Management,,Brand Information Management,,,
,Campaign Management,"Ability to identify the need for, plan, design, execute, and measure the effectiveness of an outreach activity that targets a specific population, for example, constituents, human resources, partners, or patients, to achieve a certain goal such as marketing awareness, hiring activities, and health awareness.",Capability,,,,,,,
,Campaign Definition,Ability to establish and identify a campaign.,Capability,,Campaign Management,,Campaign Management,,,
,Campaign Establishment,Ability to declare a campaign.,Capability,,Campaign Management,,Campaign Definition,,,
,Campaign Identification,Ability to recognize a campaign.,Capability,,Campaign Management,,Campaign Definition,,,
,Campaign Design,"Ability to define campaign collateral, including target-specific messaging, graphic designs for each delivery channel, as well as identify the right channel mix and execution sequence.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Response Management,"Ability to capture a campaign target's interests, actions, and answers.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Cost-Benefit Determination,Ability to define and optimize the campaign spend versus the value being delivered.,Capability,,Campaign Management,,Campaign Management,,,
,Campaign Benefit Determination,Ability to project the value being delivered through a campaign.,Capability,,Campaign Management,,Campaign Cost-Benefit Determination,,,
,Campaign Cost Determination,Ability to project the required spend to deliver a campaign.,Capability,,Campaign Management,,Campaign Cost-Benefit Determination,,,
,Campaign Cost-Benefit Finalization,Ability to balance the spend versus value-add for a campaign.,Capability,,Campaign Management,,Campaign Cost-Benefit Determination,,,
,Campaign Portfolio Management,"Ability to organize, aggregate, segment, and prioritize a collection of campaigns.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Segmentation,Ability to classify and analyze campaigns based on specific attributes.,Capability,,Campaign Management,,Campaign Portfolio Management,,,
,Campaign Aggregation,Ability to group campaigns.,Capability,,Campaign Management,,Campaign Portfolio Management,,,
,Campaign Portfolio Balancing,"Ability to evaluate and prioritize a collection of campaigns within a portfolio, based on specific attributes, such as cost, benefit, target demographic, and channel.",Capability,,Campaign Management,,Campaign Portfolio Management,,,
,Campaign Performance Management,"Ability to determine how well a campaign is meeting specification and objective levels, or delivering against plan.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Performance Threshold Setting,Ability to determine acceptable or unacceptable levels of performance for a campaign.,Capability,,Campaign Management,,Campaign Performance Management,,,
,Campaign Performance Threshold Measurement,Ability to determine if a campaign is exceeding or falling short of an acceptable threshold of performance.,Capability,,Campaign Management,,Campaign Performance Management,,,
,Campaign Performance Constraints Determination,Ability to assess what is causing a campaign to underperform.,Capability,,Campaign Management,,Campaign Performance Management,,,
,Campaign Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with a campaign.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Risk Level Determination,Ability to identify and define the level of risk associated with a campaign.,Capability,,Campaign Management,,Campaign Risk Management,,,
,Campaign Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with a campaign.,Capability,,Campaign Management,,Campaign Risk Management,,,
,Campaign Risk Aggregation,Ability to consider a collective set of risk factors about a campaign and represent them from a rationalized perspective.,Capability,,Campaign Management,,Campaign Risk Management,,,
,Campaign Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify a campaign or its component parts.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Access Constraints Definition,Ability to determine access rights limitations for a campaign.,Capability,,Campaign Management,,Campaign Access Management,,,
,Campaign Access Constraints Interpretation,Ability to understand the access rights limitations for a campaign.,Capability,,Campaign Management,,Campaign Access Management,,,
,Campaign Access Enforcement,Ability to impose access rights limitations for a campaign.,Capability,,Campaign Management,,Campaign Access Management,,,
,Campaign Matching,Ability to associate a campaign with other business objects.,Capability,,Campaign Management,,Campaign Management,,,
,Campaign/Brand Matching,Ability to associate a campaign with a brand.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Channel Matching,Ability to associate a campaign with a channel.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Constituent Matching,Ability to associate a campaign with a constituent.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Energy Matching,Ability to associate a campaign with energy.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Content Matching,Ability to associate a campaign with content.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Financial Forecast Matching,Ability to associate a campaign with a financial forecast.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Financial Position Matching,Ability to associate a campaign with a financial position.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Government Service Matching,Ability to associate a campaign with a government service.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Initiative Matching,Ability to associate a campaign with an initiative.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Intellectual Property Rights Matching,Ability to associate a campaign with an intellectual property right.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Job Matching,Ability to associate a campaign with a job.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Location Matching,Ability to associate a campaign with a location.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Market Matching,Ability to associate a campaign with a market.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Natural Resource Matching,Ability to associate a campaign with a natural resource.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Partner Matching,Ability to associate a campaign with a partner.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Plan Matching,Ability to associate a campaign with a plan.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Policy Matching,Ability to associate a campaign with a policy.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Strategy Matching,Ability to associate a campaign with a strategy.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Training Course Matching,Ability to associate a campaign with a training course.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign/Interaction Matching,Ability to associate a campaign with an interaction.,Capability,,Campaign Management,,Campaign Matching,,,
,Campaign Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about a campaign.",Capability,,Campaign Management,,Campaign Management,,,
,Campaign Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about a campaign and its relationships.",Capability,,Campaign Management,,Campaign Information Management,,,
,Campaign Type Management,"Ability to determine, modify, and interpret the category or classification of a campaign.",Capability,,Campaign Management,,Campaign Information Management,,,
,Campaign State Management,"Ability to determine, modify, and interpret the status or condition of a campaign.",Capability,,Campaign Management,,Campaign Information Management,,,
,Campaign History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with a campaign.",Capability,,Campaign Management,,Campaign Information Management,,,
,Campaign Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of a campaign.",Capability,,Campaign Management,,Campaign Information Management,,,
,Geographic Space Management,"Ability to demarcate, grade, sustain, and generally administer physical area across land, air, and water.",Capability,,,,,,,
,Geographic Space Definition,Ability to establish and identify a geographic space.,Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space Establishment,Ability to declare a geographic space.,Capability,,Geographic Space Management,,Geographic Space Definition,,,
,Geographic Space Identification,Ability to recognize a geographic space.,Capability,,Geographic Space Management,,Geographic Space Definition,,,
,Geographic Space Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with a geographic space.",Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space Risk Level Determination,Ability to identify and define the level of risk associated with a geographic space.,Capability,,Geographic Space Management,,Geographic Space Risk Management,,,
,Geographic Space Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with a geographic space.,Capability,,Geographic Space Management,,Geographic Space Risk Management,,,
,Geographic Space Risk Aggregation,Ability to consider a collective set of risk factors about a geographic space and represent them from a rationalized perspective.,Capability,,Geographic Space Management,,Geographic Space Risk Management,,,
,Geographic Space Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify a geographic space or its component parts.",Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space Access Constraints Definition,Ability to determine access rights limitations for a geographic space.,Capability,,Geographic Space Management,,Geographic Space Access Management,,,
,Geographic Space Access Constraints Interpretation,Ability to understand the access rights limitations for a geographic space.,Capability,,Geographic Space Management,,Geographic Space Access Management,,,
,Geographic Space Access Enforcement,Ability to impose access rights limitations for a geographic space.,Capability,,Geographic Space Management,,Geographic Space Access Management,,,
,Geographic Space Portfolio Management,"Ability to articulate and evaluate a collective set of geographic spaces associated with a constituent or legislation with the intention of determining the value of, modifying, or optimizing the balance of that collective set.",Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space Matching,Ability to associate a geographic space with other business objects.,Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space/Public Sector Entity Matching,Ability to associate a geographic space with a public sector entity.,Capability,,Geographic Space Management,,Geographic Space Matching,,,
,Geographic Space/Strategy Matching,Ability to associate a geographic space with a strategy.,Capability,,Geographic Space Management,,Geographic Space Matching,,,
,Geographic Space/Location Matching,"Ability to associate a geographic space with a location, such as would be used to plot or map the perimeter or 3-dimensional limits of a geographic space.",Capability,,Geographic Space Management,,Geographic Space Matching,,,
,Geographic Border Management,"Ability to define, manage, administer, and monitor a line of demarcation around a geographic space or between one geographic space and another geographic space.",Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Border Definition,Ability to establish and identify a geographic border.,Capability,,Geographic Space Management,,Geographic Border Management,,,
,Geographic Border Establishment,Ability to declare a geographic border.,Capability,,Geographic Space Management,,Geographic Border Definition,,,
,Geographic Border Identification,Ability to recognize a geographic border.,Capability,,Geographic Space Management,,Geographic Border Definition,,,
,Geographic Border Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with a geographic border.",Capability,,Geographic Space Management,,Geographic Border Management,,,
,Geographic Border Risk Level Determination,Ability to identify and define the level of risk associated with a geographic border.,Capability,,Geographic Space Management,,Geographic Border Risk Management,,,
,Geographic Border Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with a geographic border.,Capability,,Geographic Space Management,,Geographic Border Risk Management,,,
,Geographic Border Risk Aggregation,Ability to consider a collective set of risk factors about a geographic border and represent them from a rationalized perspective.,Capability,,Geographic Space Management,,Geographic Border Risk Management,,,
,Geographic Border Matching,Ability to associate a geographic border with other business objects.,Capability,,Geographic Space Management,,Geographic Border Management,,,
,Geographic Border/Location Matching,Ability to associate a geographic border with a location.,Capability,,Geographic Space Management,,Geographic Border Matching,,,
,Geographic Border/Geographic Space Matching,Ability to associate a geographic border with a geographic space.,Capability,,Geographic Space Management,,Geographic Border Matching,,,
,Geographic Border/Geographic Border Matching,Ability to associate a geographic border with a geographic border.,Capability,,Geographic Space Management,,Geographic Border Matching,,,
,Geographic Border Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about a geographic border.",Capability,,Geographic Space Management,,Geographic Border Management,,,
,Geographic Border Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about a geographic border and its relationships.",Capability,,Geographic Space Management,,Geographic Border Information Management,,,
,Geographic Border Type Management,"Ability to determine, modify, and interpret the category or classification of a geographic border.",Capability,,Geographic Space Management,,Geographic Border Information Management,,,
,Geographic Border State Management,"Ability to determine, modify, and interpret the status or condition of a geographic border.",Capability,,Geographic Space Management,,Geographic Border Information Management,,,
,Geographic Border History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with a geographic border.",Capability,,Geographic Space Management,,Geographic Border Information Management,,,
,Geographic Border Analytics,"Ability to identify, establish, validate, and articulate metrics and measures of historic and predictive events of a geographic border.",Capability,,Geographic Space Management,,Geographic Border Information Management,,,
,Geographic Space Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about a geographic space.",Capability,,Geographic Space Management,,Geographic Space Management,,,
,Geographic Space Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about a geographic space and its relationships.",Capability,,Geographic Space Management,,Geographic Space Information Management,,,
,Geographic Space Type Management,"Ability to determine, modify, and interpret the category or classification of a geographic space.",Capability,,Geographic Space Management,,Geographic Space Information Management,,,
,Geographic Space State Management,"Ability to determine, modify, and interpret the status or condition of a geographic space.",Capability,,Geographic Space Management,,Geographic Space Information Management,,,
,Geographic Space History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with a geographic space.",Capability,,Geographic Space Management,,Geographic Space Information Management,,,
,Geographic Space Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of a geographic space.",Capability,,Geographic Space Management,,Geographic Space Information Management,,,
,Intellectual Property Rights Management,"Ability to define, establish, validate, valuate, register, obtain, and dispose of a legal protection, such as patent, trademark, or copyright.",Capability,,,,,,,
,Intellectual Property Rights Definition,Ability to establish and identify an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Management,,,
,Intellectual Property Rights Establishment,Ability to declare an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Definition,,,
,Intellectual Property Rights Identification,Ability to recognize an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Definition,,,
,Intellectual Property Rights Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Management,,,
,Intellectual Property Rights Risk Level Determination,Ability to identify and define the level of risk associated with an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Risk Management,,,
,Intellectual Property Rights Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Risk Management,,,
,Intellectual Property Rights Risk Aggregation,Ability to consider a collective set of risk factors about an intellectual property right and represent them from a rationalized perspective.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Risk Management,,,
,Intellectual Property Rights Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify an intellectual property right or its component parts.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Management,,,
,Intellectual Property Rights Access Constraints Definition,Ability to determine access rights limitations for an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Access Management,,,
,Intellectual Property Rights Access Constraints Interpretation,Ability to understand the access rights limitations for an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Access Management,,,
,Intellectual Property Rights Access Enforcement,Ability to impose access rights limitations for an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Access Management,,,
,Intellectual Property Rights Matching,Ability to associate an intellectual property right with other business objects.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Management,,,
,Intellectual Property Rights/Agreement Matching,Ability to associate an intellectual property right with an agreement.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Matching,,,
,Intellectual Property Rights/Asset Matching,Ability to associate an intellectual property right with an asset.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Matching,,,
,Intellectual Property Rights/Content Matching,Ability to associate an intellectual property right with content.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Matching,,,
,Intellectual Property Rights/Intellectual Property Rights Matching,Ability to associate an intellectual property right with an intellectual property right.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Matching,,,
,Intellectual Property Rights/Public Sector Entity Matching,Ability to associate an intellectual property right with a public sector entity.,Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Matching,,,
,Intellectual Property Rights Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Management,,,
,Intellectual Property Rights Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about an intellectual property right and its relationships.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Information Management,,,
,Intellectual Property Rights Type Management,"Ability to determine, modify, and interpret the category or classification of an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Information Management,,,
,Intellectual Property Rights State Management,"Ability to determine, modify, and interpret the status or condition of an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Information Management,,,
,Intellectual Property Rights History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Information Management,,,
,Intellectual Property Rights Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of an intellectual property right.",Capability,,Intellectual Property Rights Management,,Intellectual Property Rights Information Management,,,
,Investment Portfolio Management,"Ability to control, organize, and allocate a set of resources expected to increase in value or provide income, in order to achieve a targeted balance of risk, return, and volatility.",Capability,,,,,,,
,Investment Portfolio Performance Management,"Ability to determine how well an investment portfolio is meeting specification and objective levels, or delivering against plan.",Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Performance Constraints Determination,Ability to assess what is causing an investment portfolio to underperform.,Capability,,Investment Portfolio Management,,Investment Portfolio Performance Management,,,
,Investment Portfolio Performance Threshold Setting,Ability to determine acceptable or unacceptable levels of performance for an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Performance Management,,,
,Investment Portfolio Performance Threshold Measurement,Ability to determine if an investment portfolio is exceeding or falling short of an acceptable threshold of performance.,Capability,,Investment Portfolio Management,,Investment Portfolio Performance Management,,,
,Investment Portfolio Definition,Ability to establish and identify an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Valuation,Ability to assess and determine the monetary worth of an investment portfolio in whole or in part.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Establishment,Ability to declare an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Valuation,,,
,Investment Portfolio Identification,Ability to recognize an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Valuation,,,
,Investment Portfolio Allocation Determination,Ability to define the model or target allocation mix of investments to achieve the objectives as defined for the investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Variance Assessment,Ability to measure the current investment allocation mix of the investment portfolio allocation against the model allocation.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Model Management,Ability to identify and determine which investment portfolio model best matches customer needs.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Risk Management,"Ability to identify, assess, aggregate, articulate, and incorporate various exposures to harm, danger, or loss associated with an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Risk Level Determination,Ability to identify and define the level of risk associated with an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Risk Management,,,
,Investment Portfolio Risk Threshold Determination,Ability to identify and define the level of acceptable risk associated with an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Risk Management,,,
,Investment Portfolio Risk Aggregation,Ability to consider a collective set of risk factors about an investment portfolio and represent them from a rationalized perspective.,Capability,,Investment Portfolio Management,,Investment Portfolio Risk Management,,,
,Investment Portfolio Access Management,"Ability to define, interpret, and enforce the right to view, use, or modify an investment portfolio or its component parts.",Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Access Constraints Definition,Ability to determine access rights limitations for an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Access Management,,,
,Investment Portfolio Access Constraints Interpretation,Ability to understand the access rights limitations for an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Access Management,,,
,Investment Portfolio Access Enforcement,Ability to impose access rights limitations for an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Access Management,,,
,Investment Portfolio Diversification,Ability to invest in different investment classes and in financial instruments of many issuers in an attempt to reduce overall investment risk due to poor performance of a single investment or financial instrument.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Matching,Ability to associate an investment portfolio with other business objects.,Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio/Currency Matching,Ability to associate an investment portfolio with a currency.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Financial Account Matching,Ability to associate an investment portfolio with a financial account.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Financial Forecast Matching,Ability to associate an investment portfolio with a financial forecast.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Financial Position Matching,Ability to associate an investment portfolio with a financial position.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Financial Instrument Matching,Ability to associate an investment portfolio with a financial instrument.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Payment Matching,Ability to associate an investment portfolio with a payment.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Policy Matching,Ability to associate an investment portfolio with a policy.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Research Matching,Ability to associate an investment portfolio with research.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Investment Portfolio Matching,Ability to associate an investment portfolio with an investment portfolio.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Agreement Matching,Ability to associate an investment portfolio with an agreement.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Strategy Matching,Ability to associate an investment portfolio with a strategy.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio/Plan Matching,Ability to associate an investment portfolio with a plan.,Capability,,Investment Portfolio Management,,Investment Portfolio Matching,,,
,Investment Portfolio Information Management,"Ability to collect, organize, monitor, report on, and otherwise disseminate basic facts, statistics, attributes, and data about an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Management,,,
,Investment Portfolio Profile Management,"Ability to articulate, organize, identify, track, validate, and otherwise administer descriptive, identifying information about an investment portfolio and its relationships.",Capability,,Investment Portfolio Management,,Investment Portfolio Information Management,,,
,Investment Portfolio Type Management,"Ability to determine, modify, and interpret the category or classification of an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Information Management,,,
,Investment Portfolio State Management,"Ability to determine, modify, and interpret the status or condition of an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Information Management,,,
,Investment Portfolio History Management,"Ability to identify, record, and represent a chronological order of events and actions associated with an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Information Management,,,
,Investment Portfolio Analytics Management,"Ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations of an investment portfolio.",Capability,,Investment Portfolio Management,,Investment Portfolio Information Management,,,
,Market Management,"Ability to define, identify, quantify, qualify, analyze, segment, address, and create demand for existing or future government services by individuals, populations of individuals, or organizations.",Capability,,,,,,,
,Market Definition,Ability to establish and identify a market.,Capability,,Market Management,,Market Management,,,
,Market Establishment,Ability to declare a market.,Capability,,Market Management,,Market Definition,,,
,Market Identification,Ability to recognize a market.,Capability,,Market Management,,Market Definition,,,
,Market Segmentation,"Ability to subdivide a market into unique, identifiable parts that may be targeted individually or in aggregate.",Capability,,Market Management,,Market Management,,,
,Market Segment Definition,Ability to establish and identify a market segment.,Capability,,Market Management,,Market Segmentation,,,
,Market Segment Establishment,Ability to declare a market segment.,Capability,,Market Management,,Market Segment Definition,,,
,Market Segment Identification,Ability to recognize a market segment.,Capability,,Market Management,,Market Segment Definition,,,
