name,description,partOfName,partOrder,referenceToName
Enterprise,Top-level enterprise concept,,,
Organisation,Organisation structure and actors,Enterprise,1,
Capability,Business ability the enterprise performs,Enterprise,2,
Business Unit,Named organisational unit,Organisation,1,
Business Unit Type,"Classification of business unit (Enterprise, Business Unit, Partner, Collaborative Team)",Organisation,2,
Business Unit Description,Narrative description of business unit role,Business Unit,1,
Business Unit Capability,Capability possessed by a business unit,Business Unit,2,Capability
